SiteID;CoreID;Ecosystem;Specie;Min.D;Max.D;Age;DBD;OM;OC;Centro;h;POC
Santa Maria;SM10;Seagrass;Posidonia oceanica;14.86929385;16.71783932;17.23333333;0.574659429;5.395367022;1.2363914;15.79356659;1.866744425;0.013263293
Santa Maria;SM10;Seagrass;Posidonia oceanica;16.71783932;18.53148393;20.6;0.551934057;5.73939054;1.2980468;17.62466163;1.83109504;0.013118628
Santa Maria;SM10;Seagrass;Posidonia oceanica;18.53148393;20.31166316;23.1;0.661012931;6.037000974;1.496196;19.42157355;1.79691192;0.017771547
Santa Maria;SM10;Seagrass;Posidonia oceanica;22.05975345;23.77707461;32.06666667;0.55238929;7.130746983;2.2903155;22.91841403;3.496840485;0.044240129
Santa Maria;SM10;Seagrass;Posidonia oceanica;23.77707461;25.4648922;36.15;0.605418226;4.737007215;1.1270662;24.62098341;1.702569375;0.011617421
Santa Maria;SM10;Seagrass;Posidonia oceanica;25.4648922;27.12441971;40.96666667;0.741066126;4.445334401;1.2657373;26.29465596;1.67367255;0.015698965
Santa Maria;SM10;Seagrass;Posidonia oceanica;28.7568207;30.3632109;53.1;0.805759445;3.879659643;1.027988;29.5600158;3.265359845;0.027047336
Santa Maria;SM10;Seagrass;Posidonia oceanica;30.3632109;31.94466014;58.13333333;0.916757202;4.174970108;0.9867929;31.15393552;1.59391972;0.014419387
Santa Maria;SM10;Seagrass;Posidonia oceanica;31.94466014;33.50219424;64.83333333;0.844939693;4.157728062;1.0510049;32.72342719;1.56949167;0.013937647
Santa Maria;SM10;Seagrass;Posidonia oceanica;33.50219424;35.03679684;69.85;0.847504455;4.495238095;1.4028196;34.26949554;1.54606835;0.018381143
Santa Maria;SM10;Seagrass;Posidonia oceanica;36.54941112;38.04094146;83.95;0.875052463;4.738032046;1.050765;37.29517629;3.02568075;0.027820363
Santa Maria;SM10;Seagrass;Posidonia oceanica;39.51225506;40.96418342;99.3;0.895337125;4.531460458;1.0859047;40.23821924;2.94304295;0.028613758
Santa Maria;SM10;Seagrass;Posidonia oceanica;42.39752387;43.81304093;114;0.84588769;4.343319167;0.9540612;43.1052824;2.86706316;0.02313802
