SiteID;CoreID;Ecosystem;Specie;Min.D;Max.D;Age;DBD;OM;OC
Santa Maria;SM10;Seagrass;Posidonia oceanica;12.98435047;14.86929385;14.4;0.596415485;6.40788663;1.5435697
Santa Maria;SM10;Seagrass;Posidonia oceanica;14.86929385;16.71783932;17.23333333;0.574659429;5.395367022;1.2363914
Santa Maria;SM10;Seagrass;Posidonia oceanica;16.71783932;18.53148393;20.6;0.551934057;5.73939054;1.2980468
Santa Maria;SM10;Seagrass;Posidonia oceanica;18.53148393;20.31166316;23.1;0.661012931;6.037000974;1.496196
Santa Maria;SM10;Seagrass;Posidonia oceanica;20.31166316;22.05975345;26.6;0.596461874;10.27355615;
Santa Maria;SM10;Seagrass;Posidonia oceanica;22.05975345;23.77707461;32.06666667;0.55238929;7.130746983;2.2903155
Santa Maria;SM10;Seagrass;Posidonia oceanica;23.77707461;25.4648922;36.15;0.605418226;4.737007215;1.1270662
Santa Maria;SM10;Seagrass;Posidonia oceanica;25.4648922;27.12441971;40.96666667;0.741066126;4.445334401;1.2657373
Santa Maria;SM10;Seagrass;Posidonia oceanica;27.12441971;28.7568207;47.9;0.903647146;1.523713421;
Santa Maria;SM10;Seagrass;Posidonia oceanica;28.7568207;30.3632109;53.1;0.805759445;3.879659643;1.027988
Santa Maria;SM10;Seagrass;Posidonia oceanica;30.3632109;31.94466014;58.13333333;0.916757202;4.174970108;0.9867929
Santa Maria;SM10;Seagrass;Posidonia oceanica;31.94466014;33.50219424;64.83333333;0.844939693;4.157728062;1.0510049
Santa Maria;SM10;Seagrass;Posidonia oceanica;33.50219424;35.03679684;69.85;0.847504455;4.495238095;1.4028196
Santa Maria;SM10;Seagrass;Posidonia oceanica;35.03679684;36.54941112;76.5;0.716824852;;
Santa Maria;SM10;Seagrass;Posidonia oceanica;36.54941112;38.04094146;83.95;0.875052463;4.738032046;1.050765
Santa Maria;SM10;Seagrass;Posidonia oceanica;38.04094146;39.51225506;91.36666667;1.046370861;;
Santa Maria;SM10;Seagrass;Posidonia oceanica;39.51225506;40.96418342;99.3;0.895337125;4.531460458;1.0859047
Santa Maria;SM10;Seagrass;Posidonia oceanica;40.96418342;42.39752387;105.25;0.753912123;;
Santa Maria;SM10;Seagrass;Posidonia oceanica;42.39752387;43.81304093;114;0.84588769;4.343319167;0.9540612
Santa Maria;SM10;Seagrass;Posidonia oceanica;43.81304093;45.21146768;122.75;0.97710376;;
Santa Maria;SM10;Seagrass;Posidonia oceanica;45.21146768;46.59350705;130;0.931866302;5.530045917;1.6143125
Santa Maria;SM10;Seagrass;Posidonia oceanica;46.59350705;47.95983306;136.45;0.819210269;;
Santa Maria;SM10;Seagrass;Posidonia oceanica;47.95983306;49.311092;140.8;0.959583721;5.350772889;1.3184831
Santa Maria;SM10;Seagrass;Posidonia oceanica;49.311092;50.64790358;147.3;0.924985094;;
Santa Maria;SM10;Seagrass;Posidonia oceanica;50.64790358;51.97086203;153.85;1.092580081;4.669612372;1.3681657
Santa Maria;SM10;Seagrass;Posidonia oceanica;51.97086203;53.28053713;158.3;1.122895506;;
Santa Maria;SM10;Seagrass;Posidonia oceanica;53.28053713;54.57747522;164.9;1.090942668;4.506582108;1.5865976
Santa Maria;SM10;Seagrass;Posidonia oceanica;54.57747522;55.86220018;171.5;0.968283843;;
Santa Maria;SM10;Seagrass;Posidonia oceanica;55.86220018;57.13521435;175.95;1.276555631;4.501413;1.1620185
Santa Maria;SM10;Seagrass;Posidonia oceanica;57.13521435;58.39699938;180.4;1.126564462;;
Santa Maria;SM10;Seagrass;Posidonia oceanica;58.39699938;59.64801713;187.0666667;1.144958324;4.223978148;0.849934
Santa Maria;SM10;Seagrass;Posidonia oceanica;59.64801713;60.88871047;193.95;1.12523287;;
Santa Maria;SM10;Seagrass;Posidonia oceanica;60.88871047;62.11950404;198.8;1.234096987;4.480483782;0.9377038
Santa Maria;SM10;Seagrass;Posidonia oceanica;62.11950404;63.34080502;203.65;1.305043913;;
Santa Maria;SM10;Seagrass;Posidonia oceanica;63.34080502;64.55300384;210.9666667;1.074957018;4.809446098;
Santa Maria;SM10;Seagrass;Posidonia oceanica;64.55300384;65.75647488;218.45;1.21004295;;
Santa Maria;SM10;Seagrass;Posidonia oceanica;65.75647488;66.95157711;223.75;1.356188805;4.248366013;0.6831591
Santa Maria;SM10;Seagrass;Posidonia oceanica;66.95157711;68.13865474;229.05;1.160715627;;
Santa Maria;SM10;Seagrass;Posidonia oceanica;68.13865474;69.31803783;234.3;1.337074519;4.212508673;0.6854347
Santa Maria;SM10;Seagrass;Posidonia oceanica;69.31803783;70.49004285;239.5;1.180838254;;
Santa Maria;SM10;Seagrass;Posidonia oceanica;70.49004285;71.65497327;247.5;1.184959784;4.004372019;0.6132432
Santa Maria;SM10;Seagrass;Posidonia oceanica;71.65497327;72.81312006;255.6;1.172662247;;
Santa Maria;SM10;Seagrass;Posidonia oceanica;72.81312006;73.96476224;261;1.136205465;3.938270368;0.6139793
Santa Maria;SM10;Seagrass;Posidonia oceanica;73.96476224;75.11016735;266.4;1.41726829;;
Santa Maria;SM10;Seagrass;Posidonia oceanica;75.11016735;76.24959191;271.8;1.2689599;3.685152057;0.6298975
Santa Maria;SM10;Seagrass;Posidonia oceanica;76.24959191;77.3832819;277.25;1.270190906;;
Santa Maria;SM10;Seagrass;Posidonia oceanica;77.3832819;78.5114732;285.4;1.348597105;3.5518591;
Santa Maria;SM10;Seagrass;Posidonia oceanica;78.5114732;79.63439197;293.5;1.213404393;;
Santa Maria;SM10;Seagrass;Posidonia oceanica;79.63439197;80.75225505;298.95;1.29656744;3.509320004;0.5584968
Santa Maria;SM10;Seagrass;Posidonia oceanica;80.75225505;81.86527041;304.45;1.324893654;;
Santa Maria;SM10;Seagrass;Posidonia oceanica;81.86527041;82.97363741;309.95;1.337684276;2.138377712;0.5854896
Santa Maria;SM10;Seagrass;Posidonia oceanica;82.97363741;84.07754726;315.45;1.4746628;;
Santa Maria;SM10;Seagrass;Posidonia oceanica;84.07754726;85.17718327;320.95;1.457613763;1.830752751;0.5206702
Santa Maria;SM10;Seagrass;Posidonia oceanica;85.17718327;86.27272123;326.45;1.608303413;;
Santa Maria;SM10;Seagrass;Posidonia oceanica;86.27272123;87.3643297;331.95;1.25055994;1.94375925;0.5607035
Santa Maria;SM10;Seagrass;Posidonia oceanica;87.3643297;88.45217029;337.45;1.26528476;;
Santa Maria;SM10;Seagrass;Posidonia oceanica;88.45217029;89.53639797;345.6666667;1.3561106;2.479194043;0.6792004
Santa Maria;SM10;Seagrass;Posidonia oceanica;89.53639797;90.61716135;354.15;1.488820845;;
Santa Maria;SM10;Seagrass;Posidonia oceanica;90.61716135;91.69460292;360.1;1.244201069;2.45783541;0.6295215
Santa Maria;SM10;Seagrass;Posidonia oceanica;91.69460292;92.7688593;366.05;1.130312048;;
Santa Maria;SM10;Seagrass;Posidonia oceanica;92.7688593;93.8400615;371.95;1.443530533;2.618625714;
Santa Maria;SM10;Seagrass;Posidonia oceanica;93.8400615;94.90833513;377.9;1.090923503;;
Santa Maria;SM10;Seagrass;Posidonia oceanica;94.90833513;95.97380066;383.85;1.117324349;2.944214876;
Santa Maria;SM10;Seagrass;Posidonia oceanica;95.97380066;97.03657357;389.8;1.404598202;;
Santa Maria;SM10;Seagrass;Posidonia oceanica;97.03657357;98.09676462;395.8;1.404824366;2.761641748;0.6023852
Santa Maria;SM10;Seagrass;Posidonia oceanica;98.09676462;99.15448;401.75;1.495338641;;
Santa Maria;SM10;Seagrass;Posidonia oceanica;99.15448;100.2098215;407.7;1.359988174;3.001564333;0.5973856
Santa Maria;SM10;Seagrass;Posidonia oceanica;100.2098215;101.2628869;413.7;1.323946198;;
Santa Maria;SM10;Seagrass;Posidonia oceanica;101.2628869;102.3137696;419.7;1.200377999;3.184910328;0.5176802
Santa Maria;SM10;Seagrass;Posidonia oceanica;102.3137696;103.3625595;425.7;1.188837998;;
Santa Maria;SM10;Seagrass;Posidonia oceanica;103.3625595;104.4093427;431.65;1.423140309;3.264686343;0.5575551
Santa Maria;SM10;Seagrass;Posidonia oceanica;104.4093427;105.4542017;437.6;1.313482032;;
Santa Maria;SM10;Seagrass;Posidonia oceanica;105.4542017;106.4972156;443.6;1.216594409;3.510082151;0.6502771
Santa Maria;SM10;Seagrass;Posidonia oceanica;106.4972156;107.5384603;452.6;1.23665765;;
Santa Maria;SM10;Seagrass;Posidonia oceanica;107.5384603;108.5780087;461.6;1.430201026;3.368075661;0.5881862
Santa Maria;SM10;Seagrass;Posidonia oceanica;108.5780087;109.6159304;467.6;1.583963025;;
Santa Maria;SM10;Seagrass;Posidonia oceanica;109.6159304;110.6522923;473.65;1.302762177;4.010695187;0.6039396
Santa Maria;SM10;Seagrass;Posidonia oceanica;110.6522923;111.6871587;479.85;1.338102615;;
Santa Maria;SM10;Seagrass;Posidonia oceanica;111.6871587;112.7205911;486.1;1.39191194;3.886397608;0.5947008
Santa Maria;SM10;Seagrass;Posidonia oceanica;112.7205911;113.7526483;492.3;1.325206581;;
Santa Maria;SM10;Seagrass;Posidonia oceanica;113.7526483;114.7833871;498.5;0.991689366;3.654518223;0.6531122
Santa Maria;SM10;Seagrass;Posidonia oceanica;114.7833871;115.8128615;504.85;1.480403515;;
Santa Maria;SM10;Seagrass;Posidonia oceanica;115.8128615;116.8411237;511.35;1.25372401;3.4568888;0.6447878
Santa Maria;SM10;Seagrass;Posidonia oceanica;116.8411237;117.8682234;517.8;1.586629801;;
Santa Maria;SM10;Seagrass;Posidonia oceanica;117.8682234;118.8942085;524.25;1.778589124;3.773950068;0.6190633
Santa Maria;SM10;Seagrass;Posidonia oceanica;118.8942085;119.9191249;530.75;1.311329366;;
