Site ID;Core ID;Ecosystem;Genus;Min.D;Max.D;DBD;OM;OC;Age
AG.S;AG.S-A;Seagrass;Posidonia oceanica;62;63;1.040371226;;;385
AG.S;AG.S-A;Seagrass;Posidonia oceanica;63;64;0.978337904;6.328199593;;393
AG.S;AG.S-A;Seagrass;Posidonia oceanica;64;65;1.337519288;;;400
AG.S;AG.S-A;Seagrass;Posidonia oceanica;65;66;1.067472695;4.240459848;;408
AG.S;AG.S-A;Seagrass;Posidonia oceanica;66;67;1.572018936;;;416
AG.S;AG.S-A;Seagrass;Posidonia oceanica;67;68;1.53353025;2.779136024;;424
AG.S;AG.S-A;Seagrass;Posidonia oceanica;68;69;1.408313653;;;432
AG.S;AG.S-A;Seagrass;Posidonia oceanica;69;70;1.38821353;5.150378371;;440
AG.S;AG.S-A;Seagrass;Posidonia oceanica;70;71;1.171096904;;;448
AG.S;AG.S-A;Seagrass;Posidonia oceanica;71;72;1.303715995;2.082408819;;456
AG.S;AG.S-A;Seagrass;Posidonia oceanica;72;73;1.367097169;;;464
AG.S;AG.S-A;Seagrass;Posidonia oceanica;73;74;1.620177932;1.836380987;;472
AG.S;AG.S-A;Seagrass;Posidonia oceanica;74;75;1.551528364;;;480
AG.S;AG.S-A;Seagrass;Posidonia oceanica;75;76;1.60314257;2.101314167;;495
AG.S;AG.S-A;Seagrass;Posidonia oceanica;76;77;1.51951686;;;503
AG.S;AG.S-A;Seagrass;Posidonia oceanica;77;78;1.503658195;2.293287417;;511
AG.S;AG.S-A;Seagrass;Posidonia oceanica;78;79;1.465709719;;;519
AG.S;AG.S-A;Seagrass;Posidonia oceanica;79;80;1.439843782;1.794472323;;527
AG.S;AG.S-A;Seagrass;Posidonia oceanica;80;81;1.768516624;;;535
AG.S;AG.S-A;Seagrass;Posidonia oceanica;81;82;1.35991397;2.15505868;;543
AG.S;AG.S-A;Seagrass;Posidonia oceanica;82;83;1.172412665;;;551
AG.S;AG.S-A;Seagrass;Posidonia oceanica;83;84;1.462318693;1.340469149;;559
AG.S;AG.S-A;Seagrass;Posidonia oceanica;84;85;1.840364667;;;567
AG.S;AG.S-A;Seagrass;Posidonia oceanica;85;86;1.678739998;1.906643359;;575
AG.S;AG.S-A;Seagrass;Posidonia oceanica;86;87;1.390149732;;;583
AG.S;AG.S-A;Seagrass;Posidonia oceanica;87;88;1.619429125;1.520590602;;591
AG.S;AG.S-A;Seagrass;Posidonia oceanica;88;89;1.498159811;;;599
AG.S;AG.S-A;Seagrass;Posidonia oceanica;89;90;1.348066771;1.652556547;;607
AG.S;AG.S-A;Seagrass;Posidonia oceanica;90;91;1.606148496;;;614
AG.S;AG.S-A;Seagrass;Posidonia oceanica;91;92;1.381174743;1.439281447;;622
AG.S;AG.S-A;Seagrass;Posidonia oceanica;92;93;1.790574342;;;630
AG.S;AG.S-A;Seagrass;Posidonia oceanica;93;94;1.525202445;1.932306437;;637
AG.S;AG.S-A;Seagrass;Posidonia oceanica;94;95;1.359983502;;;645
AG.S;AG.S-A;Seagrass;Posidonia oceanica;95;96;1.671059376;1.625945577;;652
AG.S;AG.S-A;Seagrass;Posidonia oceanica;96;97;1.393968648;;;660
AG.S;AG.S-A;Seagrass;Posidonia oceanica;97;98;1.849082922;2.347619094;;667
AG.S;AG.S-A;Seagrass;Posidonia oceanica;98;99;1.468779828;;;673
AG.S;AG.S-A;Seagrass;Posidonia oceanica;99;100;1.807599007;1.109197515;;680
AG.S;AG.S-A;Seagrass;Posidonia oceanica;100;101;1.44971199;;;686
AG.S;AG.S-A;Seagrass;Posidonia oceanica;101;102;1.442389726;0.847461877;;693
AG.S;AG.S-A;Seagrass;Posidonia oceanica;102;103;1.41865254;;;699
AG.S;AG.S-A;Seagrass;Posidonia oceanica;103;104;1.707841852;1.24106809;;706
AG.S;AG.S-A;Seagrass;Posidonia oceanica;104;105;1.515574925;;;713
AG.S;AG.S-A;Seagrass;Posidonia oceanica;105;106;1.677429585;1.934153708;;719
AG.S;AG.S-A;Seagrass;Posidonia oceanica;106;107;1.752604472;;;733
AG.S;AG.S-A;Seagrass;Posidonia oceanica;107;108;1.40351059;1.94840598;;746
AG.S;AG.S-A;Seagrass;Posidonia oceanica;108;109;1.465116022;;;758
AG.S;AG.S-A;Seagrass;Posidonia oceanica;109;110;2.036771428;1.174263162;;771
AG.S;AG.S-A;Seagrass;Posidonia oceanica;110;111;1.857736993;;;784
AG.S;AG.S-A;Seagrass;Posidonia oceanica;111;112;1.796152955;1.428432027;;797
AG.S;AG.S-A;Seagrass;Posidonia oceanica;112;113;1.940228795;;;815
AG.S;AG.S-A;Seagrass;Posidonia oceanica;113;114;1.651798987;1.719289995;;832
AG.S;AG.S-A;Seagrass;Posidonia oceanica;114;115;1.478075734;;;849
AG.S;AG.S-A;Seagrass;Posidonia oceanica;115;116;1.939865088;0.860818529;;866
AG.S;AG.S-A;Seagrass;Posidonia oceanica;116;117;1.618792639;;;884
AG.S;AG.S-A;Seagrass;Posidonia oceanica;117;118;1.506658772;5.305780361;;901
AG.S;AG.S-A;Seagrass;Posidonia oceanica;118;119;1.203627225;;;919
AG.S;AG.S-A;Seagrass;Posidonia oceanica;119;120;1.295591437;3.930188373;;937
AG.S;AG.S-A;Seagrass;Posidonia oceanica;120;121;1.204675555;;;955
AG.S;AG.S-A;Seagrass;Posidonia oceanica;121;122;1.1598541;8.387869013;;973
AG.S;AG.S-A;Seagrass;Posidonia oceanica;122;123;0.987280801;;;991
AG.S;AG.S-A;Seagrass;Posidonia oceanica;123;124;1.014446453;10.47050983;;1008
AG.S;AG.S-A;Seagrass;Posidonia oceanica;124;125;1.075404702;;;1026
AG.S;AG.S-A;Seagrass;Posidonia oceanica;125;126;1.341177746;4.496589687;;1044
AG.S;AG.S-A;Seagrass;Posidonia oceanica;126;127;1.366786949;;;1062
AG.S;AG.S-A;Seagrass;Posidonia oceanica;127;128;1.356014824;2.915287133;;1074
AG.S;AG.S-A;Seagrass;Posidonia oceanica;128;129;1.5063539;;;1085
AG.S;AG.S-A;Seagrass;Posidonia oceanica;129;130;1.501989424;1.513304755;;1097
AG.S;AG.S-A;Seagrass;Posidonia oceanica;130;131;1.63664634;;;1108
AG.S;AG.S-A;Seagrass;Posidonia oceanica;131;132;1.509980266;1.990996118;;1120
AG.S;AG.S-A;Seagrass;Posidonia oceanica;132;133;1.629313379;;;1130
AG.S;AG.S-A;Seagrass;Posidonia oceanica;133;134;1.437950369;1.728115189;;1139
AG.S;AG.S-A;Seagrass;Posidonia oceanica;134;135;1.575238807;;;1149
AG.S;AG.S-A;Seagrass;Posidonia oceanica;135;136;1.426932207;1.63844381;;1159
AG.S;AG.S-A;Seagrass;Posidonia oceanica;136;137;1.234804345;;;1169
AG.S;AG.S-A;Seagrass;Posidonia oceanica;137;138;1.224444063;2.116583067;;1202
AG.S;AG.S-A;Seagrass;Posidonia oceanica;138;139;1.219769367;;;1213
AG.S;AG.S-A;Seagrass;Posidonia oceanica;139;140;1.29375686;1.683683044;;1223
AG.S;AG.S-A;Seagrass;Posidonia oceanica;140;141;1.438175011;;;1233
AG.S;AG.S-A;Seagrass;Posidonia oceanica;141;142;1.227086283;3.384088122;;1243
AG.S;AG.S-A;Seagrass;Posidonia oceanica;142;143;0.748860612;;;1253
AG.S;AG.S-A;Seagrass;Posidonia oceanica;143;144;0.810193264;3.767212884;;1263
AG.S;AG.S-A;Seagrass;Posidonia oceanica;144;145;0.821853261;;;1273
AG.S;AG.S-A;Seagrass;Posidonia oceanica;145;146;0.767505909;5.390401515;;1283
AG.S;AG.S-A;Seagrass;Posidonia oceanica;146;147;0.86848255;;;1293
AG.S;AG.S-A;Seagrass;Posidonia oceanica;147;148;0.919123306;2.538349234;;1303
AG.S;AG.S-A;Seagrass;Posidonia oceanica;148;149;1.154805001;;;1313
AG.S;AG.S-A;Seagrass;Posidonia oceanica;149;150;1.09078734;;;1323
AG.S;AG.S-B;Seagrass;Posidonia oceanica;0;2.5;1.18914;2.5;1.389420155;
AG.S;AG.S-B;Seagrass;Posidonia oceanica;2.5;7.5;1.063535;2.4;0.162115086;
AG.S;AG.S-B;Seagrass;Posidonia oceanica;7.5;12.5;1.195185;2.888315611;2.59660063;
AG.S;AG.S-B;Seagrass;Posidonia oceanica;12.5;20;1.214565;2.098229255;1.392324921;
AG.S;AG.S-B;Seagrass;Posidonia oceanica;20;37.5;0.925115;4.8;3.221972707;
AG.S;AG.S-B;Seagrass;Posidonia oceanica;37.5;57.5;1.00774;5.357654043;4.215138021;
AG.S;AG.S-B;Seagrass;Posidonia oceanica;57.5;68.5;1.071995;6.149547091;6.250244444;
AG.S;AG.S-B;Seagrass;Posidonia oceanica;68.5;72;0.41778;16.7;12.4366408;
AG.S;AG.S-C;Seagrass;Posidonia oceanica;0;2.5;0.523215;10.50371216;8.373956482;
AG.S;AG.S-C;Seagrass;Posidonia oceanica;2.5;7.5;0.913855;3.68435714;2.998467654;
AG.S;AG.S-C;Seagrass;Posidonia oceanica;7.5;12.5;1.33018;2.090906573;1.070137677;
AG.S;AG.S-C;Seagrass;Posidonia oceanica;12.5;20;0.94703;3.579062956;2.739778789;
AG.S;AG.S-C;Seagrass;Posidonia oceanica;20;37.5;1.01213;3.598791075;3.021292174;
AG.S;AG.S-C;Seagrass;Posidonia oceanica;37.5;65;1.06545;2.475056623;1.725019272;
AG.S;AG.S-C;Seagrass;Posidonia oceanica;65;85;1.106305;2.876546746;;
AG.S;AG.S-C;Seagrass;Posidonia oceanica;85;90;0.646775;7.443313799;;
AG.I;AG.I-A;Seagrass;Posidonia oceanica;0;1;1.079737086;9.585039843;;7.3
AG.I;AG.I-A;Seagrass;Posidonia oceanica;1;2;0.897889276;;;12.5
AG.I;AG.I-A;Seagrass;Posidonia oceanica;2;3;1.093627458;5.363089818;;18.1
AG.I;AG.I-A;Seagrass;Posidonia oceanica;3;4;1.147343672;;;22.7
AG.I;AG.I-A;Seagrass;Posidonia oceanica;4;5;1.481520247;4.470761332;;30.8
AG.I;AG.I-A;Seagrass;Posidonia oceanica;5;6;1.603629294;;;36.3
AG.I;AG.I-A;Seagrass;Posidonia oceanica;6;7;1.709023897;1.882156012;;44.9
AG.I;AG.I-A;Seagrass;Posidonia oceanica;7;8;1.666566533;;;50.6
AG.I;AG.I-A;Seagrass;Posidonia oceanica;8;9;1.507530597;1.992777777;1.061779544;59.3
AG.I;AG.I-A;Seagrass;Posidonia oceanica;9;10;1.65046718;;;65
AG.I;AG.I-A;Seagrass;Posidonia oceanica;10;11;1.826233607;1.659235464;;70.5
AG.I;AG.I-A;Seagrass;Posidonia oceanica;11;12;1.156479119;;;76
AG.I;AG.I-A;Seagrass;Posidonia oceanica;12;13;1.736745807;1.437639489;;87.5
AG.I;AG.I-A;Seagrass;Posidonia oceanica;13;14;1.464677435;;;95.2
AG.I;AG.I-A;Seagrass;Posidonia oceanica;14;15;1.707750925;0.722877631;;103.2
AG.I;AG.I-A;Seagrass;Posidonia oceanica;15;16;1.82897745;;;111.1
AG.I;AG.I-A;Seagrass;Posidonia oceanica;16;17;2.093071026;0.964685616;;119
AG.I;AG.I-A;Seagrass;Posidonia oceanica;17;18;1.629350819;;;126.9
AG.I;AG.I-A;Seagrass;Posidonia oceanica;18;19;1.619108207;0.945646863;0.628755052;134.8
AG.I;AG.I-A;Seagrass;Posidonia oceanica;19;20;1.680847355;;;142.6
AG.I;AG.I-A;Seagrass;Posidonia oceanica;20;21;1.970983373;1.080270507;;150.5
AG.I;AG.I-A;Seagrass;Posidonia oceanica;21;22;1.782091427;;;158.5
AG.I;AG.I-A;Seagrass;Posidonia oceanica;22;23;1.471892727;1.07132544;;166.4
AG.I;AG.I-A;Seagrass;Posidonia oceanica;23;24;1.928082073;;;170.3
AG.I;AG.I-A;Seagrass;Posidonia oceanica;24;25;1.752930738;1.127657743;;178.2
AG.I;AG.I-A;Seagrass;Posidonia oceanica;25;26;1.959836844;;;186.1
AG.I;AG.I-A;Seagrass;Posidonia oceanica;26;27;1.885630058;;;194.1
AG.I;AG.I-A;Seagrass;Posidonia oceanica;27;28;1.831239918;;;198
AG.I;AG.I-A;Seagrass;Posidonia oceanica;28;29;1.918374324;0.863138475;0.176806372;205.8
AG.I;AG.I-A;Seagrass;Posidonia oceanica;29;30;1.658623829;;;213.7
AG.I;AG.I-A;Seagrass;Posidonia oceanica;30;31;1.756546407;;;217.6
AG.I;AG.I-A;Seagrass;Posidonia oceanica;31;32;1.390449254;1.764062061;;225.5
AG.I;AG.I-A;Seagrass;Posidonia oceanica;32;33;1.526994234;;;233.4
AG.I;AG.I-A;Seagrass;Posidonia oceanica;33;34;1.34298558;3.027859268;;237.3
AG.I;AG.I-A;Seagrass;Posidonia oceanica;34;35;1.483017861;;;245.1
AG.I;AG.I-A;Seagrass;Posidonia oceanica;35;36;1.798147991;2.346349151;;248.9
AG.I;AG.I-A;Seagrass;Posidonia oceanica;36;37;1.108282684;;;256.7
AG.I;AG.I-A;Seagrass;Posidonia oceanica;37;38;1.422920741;4.367256219;1.989061617;260.6
AG.I;AG.I-A;Seagrass;Posidonia oceanica;38;39;1.14692648;;;268.5
AG.I;AG.I-A;Seagrass;Posidonia oceanica;39;40;1.256995779;5.708103435;;272.4
AG.I;AG.I-A;Seagrass;Posidonia oceanica;40;41;0.940496401;;;280.3
AG.I;AG.I-A;Seagrass;Posidonia oceanica;41;42;1.349099055;1.908375077;;284.2
AG.I;AG.I-A;Seagrass;Posidonia oceanica;42;43;1.50107481;;;292.1
AG.I;AG.I-A;Seagrass;Posidonia oceanica;43;44;1.31510856;2.754236334;;296.1
AG.I;AG.I-A;Seagrass;Posidonia oceanica;44;45;1.310460608;;;300
AG.I;AG.I-A;Seagrass;Posidonia oceanica;45;46;1.567247965;1.732396487;;307.9
AG.I;AG.I-A;Seagrass;Posidonia oceanica;46;47;1.512975495;;;311.9
AG.I;AG.I-A;Seagrass;Posidonia oceanica;47;48;1.30276394;1.60637933;0.428429669;321.8
AG.I;AG.I-A;Seagrass;Posidonia oceanica;48;49;1.682125676;;;326.8
AG.I;AG.I-A;Seagrass;Posidonia oceanica;49;50;1.591937206;3.261945052;;331.7
AG.I;AG.I-A;Seagrass;Posidonia oceanica;50;51;1.178162434;;;341.8
AG.I;AG.I-A;Seagrass;Posidonia oceanica;51;52;1.374745699;2.073750385;;346.9
AG.I;AG.I-A;Seagrass;Posidonia oceanica;52;53;1.379992698;;;352
AG.I;AG.I-A;Seagrass;Posidonia oceanica;53;54;1.444165468;2.809185187;;357.1
AG.I;AG.I-A;Seagrass;Posidonia oceanica;54;55;1.355239274;;;367.2
AG.I;AG.I-A;Seagrass;Posidonia oceanica;55;56;1.450113136;2.643264478;;372.2
AG.I;AG.I-A;Seagrass;Posidonia oceanica;56;57;1.207291031;;;377.2
AG.I;AG.I-A;Seagrass;Posidonia oceanica;57;58;1.230108254;3.001333341;1.49819345;387.2
AG.I;AG.I-A;Seagrass;Posidonia oceanica;58;59;1.294692869;;;392.3
AG.I;AG.I-A;Seagrass;Posidonia oceanica;59;60;1.313279331;4.510709489;;397.3
AG.I;AG.I-A;Seagrass;Posidonia oceanica;60;61;1.53737591;;;402.4
AG.I;AG.I-A;Seagrass;Posidonia oceanica;61;62;1.329710299;3.328278369;;412.6
AG.I;AG.I-A;Seagrass;Posidonia oceanica;62;63;1.224941485;;;417.6
AG.I;AG.I-A;Seagrass;Posidonia oceanica;63;64;1.031529953;3.444272084;;422.6
AG.I;AG.I-A;Seagrass;Posidonia oceanica;64;65;1.512510164;;;427.6
AG.I;AG.I-A;Seagrass;Posidonia oceanica;65;66;1.172412665;4.2601076;;432.6
AG.I;AG.I-A;Seagrass;Posidonia oceanica;66;67;1.257963879;;;442.7
AG.I;AG.I-A;Seagrass;Posidonia oceanica;67;68;0.866984936;6.888423468;4.178797961;447.9
AG.I;AG.I-A;Seagrass;Posidonia oceanica;68;69;0.976059391;;;453
AG.I;AG.I-A;Seagrass;Posidonia oceanica;69;70;0.92761157;4.839192339;;458.1
AG.I;AG.I-A;Seagrass;Posidonia oceanica;70;71;1.017190297;;;463.2
AG.I;AG.I-A;Seagrass;Posidonia oceanica;71;72;0.954739782;3.728056848;;468.9
AG.I;AG.I-A;Seagrass;Posidonia oceanica;72;73;1.15950644;;;480.4
AG.I;AG.I-A;Seagrass;Posidonia oceanica;73;74;1.173771215;3.401992421;;486.2
AG.I;AG.I-A;Seagrass;Posidonia oceanica;74;75;1.020255057;;;492
AG.I;AG.I-A;Seagrass;Posidonia oceanica;75;76;0.82849625;4.804889979;;498
AG.I;AG.I-A;Seagrass;Posidonia oceanica;76;77;1.039157089;;;504
AG.I;AG.I-A;Seagrass;Posidonia oceanica;77;78;1.103982391;3.158671994;2.076871891;510
AG.I;AG.I-A;Seagrass;Posidonia oceanica;78;79;1.100757172;;;516
AG.I;AG.I-A;Seagrass;Posidonia oceanica;79;80;1.128361412;2.944270097;;521.9
AG.I;AG.I-A;Seagrass;Posidonia oceanica;80;81;0.896102836;;;534
AG.I;AG.I-A;Seagrass;Posidonia oceanica;81;82;1.171706647;2.439524051;;540
AG.I;AG.I-A;Seagrass;Posidonia oceanica;82;83;1.115663782;;;546
AG.I;AG.I-A;Seagrass;Posidonia oceanica;83;84;1.26627029;1.359990228;;552
AG.I;AG.I-A;Seagrass;Posidonia oceanica;84;85;1.119263405;;;557.9
AG.I;AG.I-A;Seagrass;Posidonia oceanica;85;86;1.084540149;32.20158547;;563.9
AG.I;AG.I-A;Seagrass;Posidonia oceanica;86;87;1.137635923;;;569.9
AG.I;AG.I-A;Seagrass;Posidonia oceanica;87;88;1.128377458;4.344115317;2.366418136;575.8
AG.I;AG.I-A;Seagrass;Posidonia oceanica;88;89;0.887705499;;;581.8
AG.I;AG.I-A;Seagrass;Posidonia oceanica;89;90;0.84118853;4.340818521;;587.8
AG.I;AG.I-A;Seagrass;Posidonia oceanica;90;91;0.969849641;;;599.8
AG.I;AG.I-A;Seagrass;Posidonia oceanica;91;92;0.952086866;4.704764907;;605.7
AG.I;AG.I-A;Seagrass;Posidonia oceanica;92;93;0.910362263;;;611.6
AG.I;AG.I-A;Seagrass;Posidonia oceanica;93;94;0.844921869;1.767149175;;617.5
AG.I;AG.I-A;Seagrass;Posidonia oceanica;94;95;0.807246173;;;623.4
AG.I;AG.I-A;Seagrass;Posidonia oceanica;95;96;0.962254597;5.520034646;;629.3
AG.I;AG.I-A;Seagrass;Posidonia oceanica;96;97;0.919561893;;;635.1
AG.I;AG.I-A;Seagrass;Posidonia oceanica;97;98;0.807315705;;;640.9
AG.I;AG.I-A;Seagrass;Posidonia oceanica;98;99;0.767168946;5.209098629;3.642942115;647
AG.I;AG.I-A;Seagrass;Posidonia oceanica;99;100;0.982338674;;;653.1
AG.I;AG.I-A;Seagrass;Posidonia oceanica;100;101;0.847590831;4.523668297;;659.1
AG.I;AG.I-A;Seagrass;Posidonia oceanica;101;102;0.760975241;;;665.3
AG.I;AG.I-A;Seagrass;Posidonia oceanica;102;103;0.885715811;7.159947677;;671.3
AG.I;AG.I-A;Seagrass;Posidonia oceanica;103;104;0.997753403;;;677.1
AG.I;AG.I-A;Seagrass;Posidonia oceanica;104;105;0.949027454;3.838085145;;683.1
AG.I;AG.I-A;Seagrass;Posidonia oceanica;105;106;0.955975314;;;766
AG.I;AG.I-A;Seagrass;Posidonia oceanica;106;107;0.95428515;3.151245957;;774
AG.I;AG.I-A;Seagrass;Posidonia oceanica;107;108;1.227498127;;;783
AG.I;AG.I-A;Seagrass;Posidonia oceanica;108;109;0.677793467;1.494327782;;792
AG.I;AG.I-A;Seagrass;Posidonia oceanica;109;113.5;0.73127969;0.449975105;;830
AG.I;AG.I-B;Seagrass;Posidonia oceanica;0;2.5;1.447145;0.821233064;;
AG.I;AG.I-B;Seagrass;Posidonia oceanica;2.5;7.5;1.549575;1.131387816;;
AG.I;AG.I-B;Seagrass;Posidonia oceanica;7.5;12.5;1.408995;1.345109448;;
AG.I;AG.I-B;Seagrass;Posidonia oceanica;12.5;20;1.33251;2.480558456;0.647159945;
AG.I;AG.I-B;Seagrass;Posidonia oceanica;20;37.5;1.284985;4.592168596;1.876219849;
AG.I;AG.I-B;Seagrass;Posidonia oceanica;37.5;60;1.012725;3.580076181;1.354799274;
AG.I;AG.I-B;Seagrass;Posidonia oceanica;60;70;1.057565;4.726823929;3.530037583;
AG.I;AG.I-C;Seagrass;Posidonia oceanica;0;2.5;1.117485;5.014579091;1.693801905;
AG.I;AG.I-C;Seagrass;Posidonia oceanica;2.5;7.5;1.135215;2.474957721;0.77417222;
AG.I;AG.I-C;Seagrass;Posidonia oceanica;7.5;12.5;1.217415;1.653415251;;
AG.I;AG.I-C;Seagrass;Posidonia oceanica;12.5;20;1.34815;1.243997551;;
AG.I;AG.I-C;Seagrass;Posidonia oceanica;20;25;1.366775;0.898182194;;
AG.D;AG.D-A;Seagrass;Posidonia oceanica;0;2;0.777917003;2.904665589;1.592772437;14
AG.D;AG.D-A;Seagrass;Posidonia oceanica;2;4;0.879177121;;;29
AG.D;AG.D-A;Seagrass;Posidonia oceanica;4;6;0.945874441;5.686272417;;40
AG.D;AG.D-A;Seagrass;Posidonia oceanica;6;8;0.856445476;;;57
AG.D;AG.D-A;Seagrass;Posidonia oceanica;8;10;1.024718483;3.917445943;1.8078132;71
AG.D;AG.D-A;Seagrass;Posidonia oceanica;10;12;1.147389136;;;76
AG.D;AG.D-A;Seagrass;Posidonia oceanica;12;14;1.013630789;4.333958704;;87
AG.D;AG.D-A;Seagrass;Posidonia oceanica;14;16;1.011790863;;;103
AG.D;AG.D-A;Seagrass;Posidonia oceanica;16;18;1.076485124;4.181046659;;162
AG.D;AG.D-A;Seagrass;Posidonia oceanica;18;20;1.063549481;;;216
AG.D;AG.D-A;Seagrass;Posidonia oceanica;20;22;0.938576246;3.868584688;1.75126121;305
AG.D;AG.D-A;Seagrass;Posidonia oceanica;22;24;0.991129134;;;367
AG.D;AG.D-A;Seagrass;Posidonia oceanica;24;26;1.12844699;2.51393555;;461
AG.D;AG.D-A;Seagrass;Posidonia oceanica;26;28;1.198262557;;;525
